"表名","字段序号","字段名","标识","主键","类型","占用字节数","长度","小数位数","允许空","默认值","字段说明"
"","3","OrderNum","","","int","4","10","0","y","",""
"","4","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Cfg_DataSource","1","ID","v","v","int","4","10","0","","",""
"","2","Name","","","nvarchar","100","50","0","y","",""
"","3","K2Version","","","nvarchar","100","50","0","y","",""
"","4","Type","","","nvarchar","100","50","0","y","",""
"","5","K2Conn","","","nvarchar","400","200","0","y","",""
"","6","K2LogConn","","","nvarchar","400","200","0","y","",""
"","7","WorklistView","","","nvarchar","100","50","0","y","",""
"","8","ApplicationlistView","","","nvarchar","100","50","0","y","",""
"","9","StringTableView","","","nvarchar","100","50","0","y","",""
"","10","ActInstView","","","nvarchar","100","50","0","y","",""
"","11","ActInstDestView","","","nvarchar","100","50","0","y","",""
"","12","ActInstSlotView","","","nvarchar","100","50","0","y","",""
"","13","ProcInstDataView","","","nvarchar","100","50","0","y","",""
"","14","ProcInstXmlView","","","nvarchar","100","50","0","y","",""
"","15","RecordStatus","","","int","4","10","0","y","",""
"","16","ServerNameURL","","","nvarchar","1000","500","0","y","",""
"WF_Portal_Mng_ActivityTitle","1","ID","v","v","int","4","10","0","","",""
"","2","Process","","","nvarchar","200","100","0","y","",""
"","3","Activity","","","nvarchar","200","100","0","y","",""
"","4","DisplayName","","","nvarchar","200","100","0","y","",""
"WF_Portal_Biz_Notification","1","ID","v","v","int","4","10","0","","",""
"","2","Process","","","nvarchar","200","100","0","y","",""
"","3","KeyField","","","nvarchar","200","100","0","y","",""
"","4","KeyValue","","","nvarchar","200","100","0","y","",""
"","5","Folio","","","nvarchar","200","100","0","y","",""
"","6","Originator","","","nvarchar","100","50","0","y","",""
"","7","User","","","nvarchar","100","50","0","y","",""
"","8","StartDate","","","datetime","8","23","3","y","",""
"","9","FinishDate","","","datetime","8","23","3","y","","5omT5byA55qE5pe26Ze0"
"","10","Status","","","int","4","10","0","y","","MS3msqHmnInmiZPlvIDvvIwyLeW3sue7j+aJk+W8gA=="
"","11","DataSourceName","","","nvarchar","100","50","0","y","",""
"WF_Portal_Cfg_Menus","1","ID","v","v","int","4","10","0","","",""
"","2","Name","","","nvarchar","200","100","0","y","",""
"","3","URL","","","nvarchar","600","300","0","y","",""
"","4","ImageURL","","","nvarchar","600","300","0","y","",""
"","5","OrderNum","","","int","4","10","0","y","",""
"","6","RecordStatus","","","int","4","10","0","y","",""
