"表名","字段序号","字段名","标识","主键","类型","占用字节数","长度","小数位数","允许空","默认值","字段说明"
"EventMeeting_DetailInfo_Payment","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","CRGuid","","","nvarchar","100","50","0","y","",""
"","4","PersonalTypeCode","","","nvarchar","100","50","0","y","",""
"","5","PersonalTypeName","","","nvarchar","100","50","0","y","",""
"","6","PersonalCode","","","nvarchar","100","50","0","y","",""
"","7","PersonalName","","","nvarchar","100","50","0","y","",""
"","8","PersonalEmployeeNo","","","nvarchar","100","50","0","y","",""
"","9","ProductName","","","nvarchar","100","50","0","y","",""
"","10","Postion","","","nvarchar","100","50","0","y","",""
"","11","DoctorNo","","","nvarchar","100","50","0","y","",""
"","12","HospitalName","","","nvarchar","100","50","0","y","",""
"","13","Department","","","nvarchar","100","50","0","y","",""
"","14","PresonalLevel","","","nvarchar","100","50","0","y","",""
"","15","IsActual","","","bit","1","1","0","y","",""
"","16","RecordStatus","","","int","4","10","0","y","",""
"","17","Remarks","","","nvarchar","100","50","0","y","",""
"","18","BillingAmount","","","nvarchar","100","50","0","y","",""
"Takeda_Biz_Master","1","id","√","√","int","4","10","0","","","5Li76ZSuIOWUr+S4gA=="
"","2","Guid","","","uniqueidentifier","16","16","0","y","",""
"","3","StepGuid","","","uniqueidentifier","16","16","0","y","","5q+P5Liq5q2l6aqk5a+55bqU55qER1VJRA=="
"","4","Folio","","","nvarchar","100","50","0","y","",""
"","5","ProcInstID","","","int","4","10","0","y","","5rWB56iL5a6e5L6L5Y+3"
"","6","ApplicantName","","","nvarchar","100","50","0","y","","55Sz6K+35Lq6"
"","7","ApplicantAD","","","nvarchar","100","50","0","y","","55Sz6K+35Lq6QUTotKblj7c="
"","8","ApplicantDate","","","datetime","8","23","3","y","","55Sz6K+35pel5pyf"
"","9","ApplicantDept","","","nvarchar","100","50","0","y","","55Sz6K+35Lq66YOo6Zeo"
"","10","Position","","","nvarchar","100","50","0","y","","6IGM5L2N"
"","11","Phone","","","nvarchar","100","50","0","y","","55Sz6K+35Lq655S16K+d"
"","12","Email","","","nvarchar","100","50","0","y","","55Sz6K+35Lq66YKu566x"
"","13","JobNumber","","","nvarchar","100","50","0","y","","55Sz6K+35Lq65bel5Y+3"
"","14","Director","","","nvarchar","100","50","0","y","","5Li7566h"
"","15","ProductField","","","nvarchar","100","50","0","y","","5Lqn5ZOB6aKG5Z+f"
"","16","Status","","","bit","1","1","0","y","","54q25oCB"
"","17","IsFinished","","","bit","1","1","0","y","","5rWB56iL5piv5ZCm57uT5p2fIDAu5pyq57uT5p2fIDEu57uT5p2f"
"","18","FinishDate","","","datetime","8","23","3","y","","57uT5p2f5pe26Ze0"
"","19","StepName","","","nvarchar","100","50","0","y","","5q2l6aqk5ZCN56ew"
"","20","Remark","","","text","16","2147483647","0","y","","5aSH5rOo"
"","21","OperationDate","","","datetime","8","23","3","y","","5pON5L2c5pel5pyf"
"","22","EXT01","","","nvarchar","100","50","0","y","","5omp5bGV5a2X5q61MQ=="
"","23","EXT02","","","nvarchar","100","50","0","y","","5omp5bGV5a2X5q61Mg=="
"","24","EXT03","","","nvarchar","100","50","0","y","","5omp5bGV5a2X5q61Mw=="
"RAP_TE_CostCenterCodeApprover_OperationLog","1","ID","√","√","int","4","10","0","","",""
"","2","CGuid","","","nvarchar","100","50","0","y","",""
"","3","CostCenterCodeApproverID","","","nvarchar","100","50","0","y","",""
"","4","CostCenterCode","","","nvarchar","100","50","0","y","",""
"","5","ProjectCode","","","nvarchar","100","50","0","y","",""
"","6","ProduetCode","","","nvarchar","100","50","0","y","",""
"","7","ApproveAD","","","nvarchar","100","50","0","y","",""
"","8","IsEdit","","","int","4","10","0","y","",""
"","9","IsADD","","","int","4","10","0","y","",""
"","10","IsDelete","","","int","4","10","0","y","",""
"","11","Operator","","","nvarchar","100","50","0","y","",""
"","12","UpdateDate","","","datetime","8","23","3","y","",""
"","13","RecordStatus","","","int","4","10","0","y","",""
"Takeda_Biz_SpeakerInfo","1","id","√","√","int","4","10","0","","","5Li76ZSuSUQ="
"","2","Guid","","","uniqueidentifier","16","16","0","y","","R1VJRCDllK/kuIA="
"","3","StepGuid","","","uniqueidentifier","16","16","0","y","","5q2l6aqk55qER1VJRA=="
"","4","SpeakerType","","","nvarchar","100","50","0","y","","55Sz6K+357G75Z6LOjEu5paw5aKe6K6y6ICFIDIu5L+u5pS56K6y6ICFIDMu5Ya757uT6K6y6ICFIDQu6Kej5Ya76K6y6ICF"
"","5","NumberType","","","nvarchar","100","50","0","y","",""
"","6","SpeakerIDNumber","","","nvarchar","100","50","0","y","","6K6y6ICF6Lqr5Lu96K+B5Y+3"
"","7","SpeakerName","","","nvarchar","100","50","0","y","","6K6y6ICF5aeT5ZCN"
"","8","MedicalName","","","nvarchar","100","50","0","y","","5Yy755aX5py65p6E5ZCN56ew"
"","9","DepartmentName","","","nvarchar","100","50","0","y","","56eR5a6k5ZCN56ew"
"","10","HospitalGrade","","","nvarchar","100","50","0","y","","5Yy76Zmi562J57qn"
"","11","Province","","","nvarchar","100","50","0","y","","55yB5Lu9"
"","12","City","","","nvarchar","100","50","0","y","","5Z+O5biC"
"","13","ProfessionalTitle","","","nvarchar","100","50","0","y","","5LiT5Lia6IGM56ew"
"","14","AdministrativePost","","","nvarchar","100","50","0","y","","6KGM5pS/6IGM5Yqh"
"","15","AssessmentLevel","","","nvarchar","100","50","0","y","","6K+E5Lyw562J57qn"
"","16","SAPNo","","","nvarchar","100","50","0","y","","U0FQ5Y+356CB"
"","17","CashieName","","","nvarchar","100","50","0","y","","5pS25qy+5Lq65ZCN56ew"
"","18","Bank","","","nvarchar","100","50","0","y","","6ZO26KGM5ZCN56ew"
"","19","BankLineNo","","","nvarchar","100","50","0","y","","6ZO26KGM6IGU6KGM5Y+3"
"","20","BankAccount","","","nvarchar","100","50","0","y","","6ZO26KGM5biQ5Y+3"
"","21","Currency","","","nvarchar","100","50","0","y","","5LuY5qy+5biB56eN"
"","22","IsSeparatePayment","","","nvarchar","100","50","0","y","","5piv5ZCm5YiG5byA5LuY5qy+IDAu5pivIDHlkKY="
"","23","IsForeignAccount","","","nvarchar","100","50","0","y","","5piv5ZCm5aSW5biB6LSm5oi3IDAu5pivIDHlkKY="
"","24","SwiftCode","","","nvarchar","100","50","0","y","","IFN3aWZ0Q29kZQ=="
"","25","Remarks","","","nvarchar","1000","500","0","y","","5aSH5rOo"
"","26","ThirdPartyOption","","","nvarchar","1000","500","0","y","","56ys5LiJ5pa55qC45p+l5oSP6KeB"
"","27","StepName","","","nvarchar","100","50","0","y","","5q2l6aqk5ZCN56ew"
"","28","Status","","","bit","1","1","0","y","","54q25oCBIDAs5L2/55SoIDEu5pyq5L2/55So"
"","29","SpeakerStatus","","","int","4","10","0","y","","MC7mlrDlop4xLuS/ruaUuTIu5Ya757uTMy7op6Plhrs="
"","30","OperationDate","","","datetime","8","23","3","y","","5pON5L2c5pel5pyf"
"","31","IsChangeSpeaker","","","bit","1","1","0","y","","5piv5ZCm5L+u5pS56K6y6ICF5L+h5oGv"
"","32","IsChangeFinance","","","bit","1","1","0","y","","5piv5ZCm5L+u5pS56LSi5Yqh5L+h5oGv"
"","33","LectureFee","","","float","8","53","0","y","","6K6y6K++6LS5"
"","34","AnnualCap","","","float","8","53","0","y","","5bm05bel6LWE5bi9"
"","35","IsDomestic","","","bit","1","1","0","y","((0))","5piv5ZCm5piv5Zu95YaF6K6y6ICFIDAu5pivIDEu5ZCm"
"","36","HistoryStepGuid","","","nvarchar","100","50","0","y","","5L+u5pS544CB5Ya757uT44CB6Kej5Ya75pWw5o2u55qE5Y6G5Y+ySUQ="
"","37","IsNewData","","","int","4","10","0","y","((0))","5piv5ZCm5pyA5paw55qE5pWw5o2uIDAu5pivIDEu5ZCm"
"","38","AssociationOffice","","","nvarchar","100","50","0","y","","5Y2P5Lya5Lu76IGM"
"","39","SpeakerNo","","","nvarchar","100","50","0","y","","6K6y6ICF57yW5Y+3"
"","40","IsReport","","","int","4","10","0","y","((1))","5piv5ZCm5a+85YWl5pWw5o2uIDAu5pivIDEu5ZCm"
"EMS_Cfg_EventReportColomun","1","id","√","√","int","4","10","0","","",""
"","2","EventTitle","","","nvarchar","100","50","0","y","",""
"","3","EventColumn","","","nvarchar","100","50","0","y","",""
"","4","ReportType","","","int","4","10","0","y","",""
"","5","EventSort","","","int","4","10","0","y","",""
"","6","RecordStatus","","","int","4","10","0","y","",""
"EMS_Payment_RelationFolio","1","ID","√","√","int","4","10","0","","",""
"","2","Folio","","","nvarchar","100","50","0","y","",""
"","3","EMSGUID","","","nvarchar","100","50","0","y","",""
"","4","ChargeType","","","nvarchar","100","50","0","y","",""
"EMS_Mng_SpekaerAmount","1","id","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","SpeakerIDNumber","","","nvarchar","100","50","0","y","","6K6y6ICF6Lqr5Lu96K+B5Y+3"
"","4","SpeakerName","","","nvarchar","100","50","0","y","","6K6y6ICF"
"","5","LectureFee","","","numeric","9","18","2","y","","6K6y6ICF5b2T5qyh6YeR6aKd"
"","6","AnnualCap","","","numeric","9","18","2","y","","6K6y6ICF5bm05bqm6YeR6aKd"
"","7","UsedAmount","","","numeric","9","18","0","y","","5bey55So6YeR6aKd"
"","8","ApplicantAmount","","","numeric","9","18","2","y","","5b2T5YmN55Sz6K+36YeR6aKd"
"","9","Quater","","","int","4","10","0","y","","5a2j5bqm"
"","10","SYear","","","int","4","10","0","y","",""
"EventMeeting_DetailInfo","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","","5rWB56iL6IqC54K5R1VJRA=="
"","3","CRGuid","","","nvarchar","100","50","0","y","","5rWB56iLR1VJRA=="
"","4","PersonalTypeCode","","","nvarchar","100","50","0","y","","57G75YirQ29kZQ=="
"","5","PersonalTypeName","","","nvarchar","100","50","0","y","","57G75Yir5ZCN56ew"
"","6","PersonalCode","","","nvarchar","100","50","0","y","","57yW56CB"
"","7","PersonalName","","","nvarchar","100","50","0","y","","5aeT5ZCN"
"","8","PersonalEmployeeNo","","","nvarchar","100","50","0","y","","5ZGY5bel5Y+3"
"","9","ProductName","","","nvarchar","100","50","0","y","","5Lqn5ZOB5ZCN56ew"
"","10","Postion","","","nvarchar","100","50","0","y","","6IGM5L2N"
"","11","DoctorNo","","","nvarchar","100","50","0","y","",""
"","12","HospitalName","","","nvarchar","100","50","0","y","","5Yy76Zmi5ZCN56ew"
"","13","HospitalNo","","","nvarchar","100","50","0","y","",""
"","14","Department","","","nvarchar","100","50","0","y","","56eR5a6kXOmDqOmXqA=="
"","15","PresonalLevel","","","nvarchar","100","50","0","y","","57qn5YirXOWyl+S9jQ=="
"","16","IsActual","","","bit","1","1","0","y","","5a6e6ZmF5Y+C5Lya56Gu6K6k"
"","17","RecordStatus","","","int","4","10","0","y","","54q25oCB"
"","18","IsPaymentStart","","","nvarchar","100","50","0","y","",""
"","19","Remarks","","","nvarchar","1000","500","0","y","",""
"","20","Version","","","nvarchar","100","50","0","y","",""
"","21","FinishApproved","","","nvarchar","100","50","0","y","",""
"","22","IsSpeaker","","","int","4","10","0","y","",""
"","23","IsPaymentAdd","","","int","4","10","0","y","",""
"","24","ActivityName","","","nvarchar","100","50","0","y","",""
"","25","CreateDate","","","datetime","8","23","3","y","(getdate())",""
"EventMeeting_DetailInfo_New","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","","5rWB56iL6IqC54K5R1VJRA=="
"","3","CRGuid","","","nvarchar","100","50","0","y","","5rWB56iLR1VJRA=="
"","4","PersonalTypeCode","","","nvarchar","100","50","0","y","","57G75YirQ29kZQ=="
"","5","PersonalTypeName","","","nvarchar","100","50","0","y","","57G75Yir5ZCN56ew"
"","6","PersonalCode","","","nvarchar","100","50","0","y","","57yW56CB"
"","7","PersonalName","","","nvarchar","100","50","0","y","","5aeT5ZCN"
"","8","PersonalEmployeeNo","","","nvarchar","100","50","0","y","","5ZGY5bel5Y+3"
"","9","ProductName","","","nvarchar","100","50","0","y","","5Lqn5ZOB5ZCN56ew"
"","10","Postion","","","nvarchar","100","50","0","y","","6IGM5L2N"
"","11","DoctorNo","","","nvarchar","100","50","0","y","",""
"","12","HospitalName","","","nvarchar","100","50","0","y","","5Yy76Zmi5ZCN56ew"
"","13","HospitalNo","","","nvarchar","100","50","0","y","",""
"","14","Department","","","nvarchar","100","50","0","y","","56eR5a6kXOmDqOmXqA=="
"","15","PresonalLevel","","","nvarchar","100","50","0","y","","57qn5YirXOWyl+S9jQ=="
"","16","IsActual","","","bit","1","1","0","y","","5a6e6ZmF5Y+C5Lya56Gu6K6k"
"","17","RecordStatus","","","int","4","10","0","y","","54q25oCB"
"","18","IsPaymentStart","","","nvarchar","100","50","0","y","",""
"","19","Remarks","","","nvarchar","1000","500","0","y","",""
"","20","FinishApproved","","","nvarchar","100","50","0","y","",""
"","21","IsSpeaker","","","int","4","10","0","y","",""
"","22","IsPaymentAdd","","","int","4","10","0","y","",""
"","23","ActivityName","","","nvarchar","100","50","0","y","",""
"","24","CreateDate","","","datetime","8","23","3","y","(getdate())",""
"EMS_Cfg_TagretAmount","1","id","√","√","int","4","10","0","","",""
"","2","TargetType","","","int","4","10","0","y","",""
"","3","TargetAmount","","","float","8","53","0","y","",""
"","4","RecordStatus","","","int","4","10","0","y","",""
"EventPurchase_QuotationInfo","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","","5rWB56iLR1VJRA=="
"","3","PurchaseGuid","","","nvarchar","100","50","0","y","",""
"","4","CRGuid","","","nvarchar","100","50","0","y","",""
"","5","VendorCode","","","nvarchar","100","50","0","y","","5L6b5bqU5ZWG5Luj56CB"
"","6","VendorName","","","nvarchar","100","50","0","y","","5L6b5bqU5ZWG5ZCN56ew"
"","7","ActivityContent","","","nvarchar","200","100","0","y","","5rS75Yqo5YaF5a65"
"","8","CostCode","","","nvarchar","100","50","0","y","","6LS555So57G75Yir5Luj56CB"
"","9","CostName","","","nvarchar","100","50","0","y","","6LS555So57G75Yir5ZCN56ew"
"","10","Description","","","nvarchar","100","50","0","y","","6K+m57uG5o+P6L+w"
"","11","Price","","","numeric","9","18","2","y","","5Y2V5Lu3"
"","12","Qty","","","int","4","10","0","y","","5pWw6YeP"
"","13","TotalAmount","","","numeric","9","18","2","y","","5oC75Lu3"
"","14","Tax","","","numeric","9","18","2","y","",""
"","15","TaxTotalAmount","","","numeric","9","18","2","y","",""
"","16","PayDate","","","datetime","8","23","3","y","","5Lqk5LuY5pe26Ze0"
"","17","RecordStatus","","","int","4","10","0","y","","54q25oCB"
"DelegatedProcInst","1","Id","√","√","int","4","10","0","","",""
"","2","DelegationID","","","int","4","10","0","y","",""
"","3","Folio","","","nvarchar","200","100","0","y","",""
"","4","ProcName","","","nvarchar","200","100","0","","",""
"","5","FromWho","","","nvarchar","200","100","0","","",""
"","6","ToWho","","","nvarchar","200","100","0","","",""
"","7","ProcInstID","","","bigint","8","19","0","y","",""
"","8","ActInstDestID","","","bigint","8","19","0","y","",""
"","9","ActID","","","bigint","8","19","0","y","",""
"","10","ActInstID","","","bigint","8","19","0","y","",""
"","11","ActName","","","nvarchar","200","100","0","y","",""
"","12","IsSuccess","","","nvarchar","200","100","0","y","",""
"","13","CreationTime","","","datetime","8","23","3","y","",""
"","14","ReturnOpertionEvent","","","nvarchar","200","100","0","y","",""
"","15","ReturnOperator","","","nvarchar","200","100","0","y","",""
"","16","ReturnOperatorAD","","","nvarchar","200","100","0","y","",""
"","17","ReturnOpertionTime","","","nvarchar","200","100","0","y","",""
"","18","DelegateStatus","","","int","4","10","0","y","",""
"","19","IsSummaryResult","","","int","4","10","0","y","",""
"","20","InitDealUsers","","","nvarchar","4000","2000","0","y","",""
"Takeda_Mng_HospitalLevel","1","id","√","√","int","4","10","0","","",""
"","2","AcademicID","","","nvarchar","100","50","0","y","",""
"","3","LevelCode","","","nvarchar","100","50","0","y","","562J57qn5Luj56CB"
"","4","LevelName","","","nvarchar","100","50","0","y","","562J57qn5ZCN56ew"
"","5","CreateTime","","","datetime","8","23","3","y","",""
"","6","UpdateTime","","","datetime","8","23","3","y","",""
"","7","Status","","","int","4","10","0","y","","54q25oCB77yIMC7lkK/nlKggMS7mnKrlkK/nlKjvvIk="
"EMS_Payment_ProcessStatus","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","","5qCH56S655qEZ3VpZA=="
"","3","PaymentOrderNo","","","nvarchar","100","50","0","y","","5LuY5qy+5Y2V5Y+3IFQwMDAx44CBUzAwMeetiQ=="
"","4","isPaymentOnGoing","","","nvarchar","100","50","0","y","","5piv5ZCm5pyJ5LuY5qy+5Y2V5o2u5q2j5Zyo5rWB6L2s"
"","5","isPaymentStatus","","","nvarchar","100","50","0","y","","5LuY5qy+5L+h5oGv54q25oCB"
"","6","isFinishReceiving","","","nvarchar","100","50","0","y","",""
"","7","PaymentCount","","","int","4","10","0","y","","5LuY5qy+5qyh5pWw"
"","8","RecordStatus","","","int","4","10","0","y","","5piv5ZCm5pyJ5pWI6K6w5b2V"
"Takeda_Biz_MasterAttachment","1","Id","√","√","int","4","10","0","","","6Ieq5aKe5Li7SWQ="
"","2","FileGUID","","","nvarchar","100","50","0","y","",""
"","3","ProcGUID","","","nvarchar","100","50","0","y","",""
"","4","FileName","","","nvarchar","100","50","0","y","",""
"","5","FileTypeID","","","int","4","10","0","y","",""
"","6","ContentLength","","","float","8","53","0","y","",""
"","7","CurrentVersion","","","int","4","10","0","y","",""
"","8","Extension","","","nvarchar","1000","500","0","y","","5omp5bGV5ZCN"
"","9","OperatorAD","","","nvarchar","100","50","0","y","",""
"","10","PhysicalAddress","","","nvarchar","100","50","0","y","",""
"","11","ProjectCode","","","nvarchar","100","50","0","y","",""
"","12","LastUpdateTime","","","datetime","8","23","3","y","",""
"","13","RecordCreationTime","","","datetime","8","23","3","y","",""
"","14","RecordStatus","","","int","4","10","0","y","",""
"","15","URL","","","nvarchar","100","50","0","y","",""
"","16","Type","","","nvarchar","100","50","0","y","","5a+55bqU6K6y6ICF6ZmE5Lu2IDAu6K6y6ICF5Z+65pys5L+h5oGv5LiK5Lyg55qE6ZmE5Lu2IDEu6LSi5Yqh5LiK5Lyg55qE6ZmE5Lu2"
"","17","FileTypeName","","","nvarchar","100","50","0","y","",""
"EventMeeting_ThirdPaymentInfo","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","ThirdGuid","","","nvarchar","100","50","0","y","",""
"","4","PayGuid","","","nvarchar","100","50","0","y","",""
"","5","Folio","","","nvarchar","100","50","0","y","",""
"","6","PaymentType","","","nvarchar","100","50","0","y","",""
"","7","PaymentRate","","","nvarchar","100","50","0","y","",""
"","8","Tax","","","nvarchar","100","50","0","y","",""
"","9","PaymentAmount","","","nvarchar","100","50","0","y","",""
"","10","NoneTaxAmount","","","nvarchar","100","50","0","y","",""
"","11","CreateTime","","","datetime","8","23","3","y","",""
"","12","PaymentProperty","","","nvarchar","100","50","0","y","",""
"","13","PaymentRemark","","","nvarchar","-1","-1","0","y","",""
"","14","RecordStatus","","","int","4","10","0","","",""
"","15","LockStatus","","","int","4","10","0","y","",""
"EMS_Payment_SpecialTable","1","ID","√","√","int","4","10","0","","",""
"","2","Payment_Folio","","","nvarchar","100","50","0","y","",""
"","3","EMSGUID","","","nvarchar","100","50","0","y","",""
"","4","PaymentType","","","nvarchar","100","50","0","y","",""
"","5","Special_TD1","","","nvarchar","1000","500","0","y","",""
"","6","Special_TD2","","","nvarchar","1000","500","0","y","",""
"","7","Special_TD3","","","nvarchar","1000","500","0","y","",""
"","8","Special_TD4","","","nvarchar","1000","500","0","y","",""
"","9","Special_TD5","","","nvarchar","1000","500","0","y","",""
"","10","Special_TD6","","","nvarchar","1000","500","0","y","",""
"","11","Special_TD7","","","nvarchar","1000","500","0","y","",""
"","12","Special_TD8","","","nvarchar","1000","500","0","y","",""
"","13","Special_TD9","","","nvarchar","1000","500","0","y","",""
"","14","RecordStatus","","","int","4","10","0","y","",""
"EMS_Mng_RSM","1","id","√","√","int","4","10","0","","",""
"","2","BuName","","","nvarchar","100","50","0","y","","QlU="
"","3","Pargana","","","nvarchar","100","50","0","y","","5aSn5Yy6"
"","4","MREmployee","","","nvarchar","100","50","0","y","","TVLlkZjlt6XnvJblj7c="
"","5","MRAD","","","nvarchar","100","50","0","y","","TVIgQUQg6LSm5Y+3"
"","6","MRName","","","nvarchar","100","50","0","y","","TVLlp5PlkI0="
"","7","DSMEmployee","","","nvarchar","100","50","0","y","","RFNNIOWRmOW3peWPtw=="
"","8","DSMAD","","","nvarchar","100","50","0","y","","RFNNQUTotKblj7c="
"","9","DSMName","","","nvarchar","100","50","0","y","","RE1T5aeT5ZCN"
"","10","RSMEmployee","","","nvarchar","100","50","0","y","","UlNN5ZGY5bel5Y+3"
"","11","RSMAD","","","nvarchar","100","50","0","y","","UlNN6LSm5Y+3"
"","12","RSMName","","","nvarchar","100","50","0","y","","UlNN5aeT5ZCN"
"","13","RSDEmployee","","","nvarchar","100","50","0","y","","UlNE5ZGY5bel5Y+3"
"","14","RSDAD","","","nvarchar","100","50","0","y","","UlNE6LSm5Y+3"
"","15","RSDName","","","nvarchar","100","50","0","y","","UlNE5aeT5ZCN"
"","16","HospitalNo","","","nvarchar","100","50","0","y","","5Yy76Zmi57yW5Y+3"
"","17","HospitalName","","","nvarchar","100","50","0","y","","5Yy76Zmi5ZCN56ew"
"","18","DoctorNo","","","nvarchar","100","50","0","y","","5Yy755Sf57yW5Y+3"
"","19","DoctorName","","","nvarchar","100","50","0","y","","5Yy755Sf5aeT5ZCN"
"","20","DoctorPostion","","","nvarchar","100","50","0","y","","5Yy755Sf6IGM5Yqh"
"","21","DoctorTitle","","","nvarchar","100","50","0","y","","5Yy755Sf6IGM56ew"
"","22","DoctorDepartment","","","nvarchar","100","50","0","y","","5Yy755Sf56eR5a6k"
"","23","Product","","","nvarchar","100","50","0","y","","5Lqn5ZOB"
"","24","DLevel","","","nvarchar","100","50","0","y","","57qn5Yir"
"RAP_TE_DD_InternalOrder","1","ID","√","√","int","4","10","0","","",""
"","2","ProjectYear","","","nvarchar","1000","500","0","y","",""
"","3","Code","","","nvarchar","100","50","0","y","",""
"","4","RecordCreationTime","","","datetime","8","23","3","y","(getdate())",""
"","5","Description","","","nvarchar","510","255","0","y","",""
"","6","LastUpdateTime","","","datetime","8","23","3","y","(getdate())",""
"","7","RecordStatus","","","int","4","10","0","y","('1')",""
"","8","CompanyName","","","nvarchar","100","50","0","y","",""
"","9","CompanyCode","","","nvarchar","100","50","0","y","",""
"","10","InternalOrderType","","","nvarchar","100","50","0","y","",""
"","11","ParentProductCode","","","nvarchar","100","50","0","y","",""
"","12","ParentProductName","","","nvarchar","400","200","0","y","",""
"Log_CostCenter_Source","1","ID","√","√","int","4","10","0","","",""
"","2","CRGuid","","","nvarchar","100","50","0","y","",""
"","3","CostCenterCode","","","nvarchar","100","50","0","y","",""
"","4","CostCenterEname","","","nvarchar","100","50","0","y","",""
"","5","CostCenterDescript","","","nvarchar","100","50","0","y","",""
"","6","CostCenterDepartment","","","nvarchar","100","50","0","y","",""
"","7","CountryCode","","","nvarchar","100","50","0","y","",""
"","8","Caterory","","","nvarchar","100","50","0","y","",""
"","9","IsExtensCostCenter","","","nvarchar","100","50","0","y","",""
"","10","CheckProduct","","","nvarchar","100","50","0","y","",""
"","11","CheckProject","","","nvarchar","100","50","0","y","",""
"","12","Owner","","","nvarchar","100","50","0","y","",""
"","13","Account","","","nvarchar","100","50","0","y","",""
