"表名","字段序号","字段名","标识","主键","类型","占用字节数","长度","小数位数","允许空","默认值","字段说明"
"","10","I10","","","nvarchar","100","50","0","y","",""
"Takeda_VR_Division","1","ID","√","√","int","4","10","0","","",""
"","2","Code","","","nvarchar","100","50","0","y","",""
"","3","EntityID","","","int","4","10","0","","",""
"","4","VR_Division","","","nvarchar","400","200","0","","",""
"","5","CountryCode","","","varchar","20","20","0","y","","VGhlIGNvZGUgb2YgY291bnRyeQ=="
"","6","Status","","","varchar","10","10","0","y","",""
"","7","RecordStatus","","","char","1","1","0","y","",""
"","8","IsGoHCPTester","","","int","4","10","0","y","",""
"","9","DepartFlag","","","int","4","10","0","y","","MS7plIDllK4gMi7luILlnLogMy7plIDllK4m5biC5Zy6"
"RAP_TE_Company","1","ID","√","√","int","4","10","0","","",""
"","2","CompanyName","","","nvarchar","100","50","0","y","",""
"","3","CompanyCode","","","nvarchar","100","50","0","y","",""
"","4","RecordStatus","","","int","4","10","0","y","",""
"Takeda_Employee","1","ID","√","√","int","4","10","0","","",""
"","2","LocalName","","","nvarchar","200","100","0","y","",""
"","3","EName","","","nvarchar","400","200","0","y","",""
"","4","FirstName","","","nvarchar","100","50","0","y","",""
"","5","LastName","","","nvarchar","100","50","0","y","",""
"","6","Sex","","","char","1","1","0","y","",""
"","7","AD","","","nvarchar","400","200","0","","",""
"","8","EmployeeID","","","nvarchar","200","100","0","y","",""
"","9","mPosition","","","nvarchar","100","50","0","y","",""
"","10","EmploymentDate","","","datetime","8","23","3","y","",""
"","11","Employee_Status","","","char","1","1","0","","",""
"","12","EntityID","","","nvarchar","100","50","0","y","",""
"","13","VR_DivisionID","","","nvarchar","100","50","0","y","",""
"","14","VR_DepartmentID","","","nvarchar","100","50","0","y","",""
"","15","VR_Sub_DepartmentID","","","nvarchar","100","50","0","y","",""
"","16","VR_BranchID","","","nvarchar","100","50","0","y","",""
"","17","VR_DeptCode","","","nvarchar","100","50","0","y","",""
"","18","DivisionID","","","nvarchar","100","50","0","y","",""
"","19","DepartmentID","","","nvarchar","100","50","0","y","",""
"","20","Sub_DepartmentID","","","nvarchar","100","50","0","y","",""
"","21","Work_Phone","","","nvarchar","100","50","0","y","",""
"","22","Mobile_Phone","","","nvarchar","100","50","0","y","",""
"","23","Email","","","nvarchar","100","50","0","y","",""
"","24","City","","","nvarchar","100","50","0","y","",""
"","25","Operator","","","nvarchar","100","50","0","y","",""
"","26","InsTime","","","datetime","8","23","3","y","",""
"","27","Birthday","","","datetime","8","23","3","y","",""
"","28","CostCenterCode","","","nvarchar","100","50","0","y","","VGhlIGNvZGUgb2YgY29zdCBjZW50ZXI="
"","29","WBSCode","","","nvarchar","100","50","0","y","","VGhlIGNvZGUgb2YgV0JT"
"","30","EmployeeType","","","nvarchar","40","20","0","y","","VGhlIHR5cGUgb2YgZW1wbG95ZWU="
"","31","InternalOrderNum","","","nvarchar","100","50","0","y","","VGhlIGludGVybmFsIG9yZGVyIG51bWJlcg=="
"","32","HomeBase","","","nvarchar","400","200","0","y","","VGhlIGhvbWUgYmFzZSBvZiBlbXBsb3llZQ=="
"","33","PlateNO","","","nvarchar","20","10","0","y","","VGhlIGNhciBwbGF0ZSBudW1iZXI="
"","34","Vehicle","","","nvarchar","100","50","0","y","","VGhlIHZlaGljbGUgb2YgZW1wbG95ZWU="
"","35","Driver","","","nvarchar","100","50","0","y","","VGhlIGRyaXZlciBvZiB2ZWhpY2xl"
"","36","Area","","","nvarchar","100","50","0","y","","VGhlIGFyZWEgb2YgdmVoaWNsZQ=="
"","37","Territory","","","nvarchar","100","50","0","y","","VGhlIHRlcnJpdG9yeSBvZiB1c2Vy"
"","38","Nationality","","","char","3","3","0","y","",""
"","39","Contactperson","","","char","8","8","0","y","",""
"","40","MainWA","","","char","5","5","0","y","",""
"","41","MainWC","","","char","3","3","0","y","",""
"","42","CompanyCode","","","nvarchar","100","50","0","y","",""
"","43","ODGCode","","","char","2","2","0","y","",""
"","44","pinyin","","","nvarchar","200","100","0","y","",""
"","45","IDCard","","","nvarchar","100","50","0","y","",""
"","46","positioncode","","","char","20","20","0","y","",""
"","47","orgcode5","","","char","20","20","0","y","",""
"","48","orgcode1","","","char","20","20","0","y","",""
"","49","orgcode2","","","char","20","20","0","y","",""
"","50","orgcode3","","","char","20","20","0","y","",""
"","51","orgcode4","","","char","20","20","0","y","",""
"","52","reportto","","","nvarchar","400","200","0","y","",""
"","53","CountryCode","","","varchar","20","20","0","y","","VGhlIGNvZGUgb2YgY291bnRyeQ=="
"","54","OrdNum","","","int","4","10","0","y","","VGhlIG9yZGVyIG51bWJlcg=="
"","55","RecordCreationTime","","","datetime","8","23","3","y","(getdate())","VGhlIHRpbWUgb2YgY3JlYXRlZCB0aGlzIHJlY29yZA=="
"","56","LastUpdateTime","","","datetime","8","23","3","y","","TGFzdCB1cGRhdGUgdGltZQ=="
"","57","RecordStatus","","","varchar","10","10","0","y","","VGhlIHN0YXR1cyBvZiB0aGlzIHJlY29yZC4gMCAtIGRpc2FibGUgMS0gZW5hYmxlIDIgLSBkZWxldGVk"
"","58","CName","","","nvarchar","400","200","0","y","",""
"","59","LevelId","","","int","4","10","0","y","",""
"","60","Reviewer","","","nvarchar","400","200","0","y","",""
"","61","FTECostCenterCode","","","nvarchar","400","200","0","y","",""
"","62","DepartmentName","","","nvarchar","200","100","0","y","",""
"","63","DepartmentType","","","nvarchar","200","100","0","y","",""
"","64","SAPVenderCode","","","nvarchar","100","50","0","y","",""
"","65","BAType","","","nvarchar","100","50","0","y","",""
"","66","FTECostCenterCode1","","","nvarchar","400","200","0","y","",""
"","67","FTECostCenterCode2","","","nvarchar","400","200","0","y","",""
"","68","TE_Level","","","nvarchar","400","200","0","y","",""
"","69","CompanyName","","","nvarchar","400","200","0","y","",""
"","70","AmountCategory","","","nvarchar","100","50","0","y","",""
"","71","SpecialSignLevel","","","money","8","19","4","y","",""
"","72","IsCheckHCPTester","","","int","4","10","0","y","",""
"","73","IsHasRightChange","","","int","4","10","0","y","",""
"","74","SignLevelAmount","","","money","8","19","4","y","",""
"","75","Headimg","","","nvarchar","1000","500","0","y","",""
"DelegatedProcInst","1","Id","√","√","int","4","10","0","","",""
"","2","DelegationID","","","int","4","10","0","y","",""
"","3","Folio","","","nvarchar","200","100","0","y","",""
"","4","ProcName","","","nvarchar","200","100","0","","",""
"","5","FromWho","","","nvarchar","200","100","0","","",""
"","6","ToWho","","","nvarchar","200","100","0","","",""
"","7","ProcInstID","","","bigint","8","19","0","y","",""
"","8","ActInstDestID","","","bigint","8","19","0","y","",""
"","9","ActID","","","bigint","8","19","0","y","",""
"","10","ActInstID","","","bigint","8","19","0","y","",""
"","11","ActName","","","nvarchar","200","100","0","y","",""
"","12","IsSuccess","","","nvarchar","200","100","0","y","",""
"","13","CreationTime","","","datetime","8","23","3","y","",""
"","14","ReturnOpertionEvent","","","nvarchar","200","100","0","y","",""
"","15","ReturnOperator","","","nvarchar","200","100","0","y","",""
"","16","ReturnOperatorAD","","","nvarchar","200","100","0","y","",""
"","17","ReturnOpertionTime","","","nvarchar","200","100","0","y","",""
"","18","DelegateStatus","","","int","4","10","0","y","",""
"","19","IsSummaryResult","","","int","4","10","0","y","",""
"","20","InitDealUsers","","","nvarchar","4000","2000","0","y","",""
"Takeda_VR_UserVR","1","ID","√","√","int","4","10","0","","",""
"","2","UserName","","","nvarchar","100","50","0","y","",""
"","3","UserCode","","","varchar","50","50","0","y","",""
"","4","VRCode","","","varchar","50","50","0","y","",""
"","5","DivisionCode","","","varchar","50","50","0","y","",""
"","6","VR_Division","","","nvarchar","100","50","0","y","",""
"","7","DeptCode","","","varchar","50","50","0","y","",""
"","8","SubDeptCode","","","varchar","50","50","0","y","",""
"","9","EntityCode","","","varchar","50","50","0","y","",""
"","10","BranchCode","","","varchar","50","50","0","y","",""
"","11","TitleCode","","","nvarchar","100","50","0","y","",""
"","12","CountryCode","","","varchar","20","20","0","y","",""
"","13","Recordstatus","","","nvarchar","100","50","0","y","",""
"Takeda_Employee_Log","1","ID","√","√","int","4","10","0","","",""
"","2","LocalName","","","nvarchar","200","100","0","y","",""
"","3","EName","","","nvarchar","400","200","0","y","",""
"","4","FirstName","","","nvarchar","100","50","0","y","",""
"","5","LastName","","","nvarchar","100","50","0","y","",""
"","6","Sex","","","char","1","1","0","y","",""
"","7","AD","","","nvarchar","400","200","0","","",""
"","8","EmployeeID","","","nvarchar","200","100","0","y","",""
"","9","mPosition","","","nvarchar","1000","500","0","y","",""
"","10","EmploymentDate","","","datetime","8","23","3","y","",""
"","11","Employee_Status","","","char","1","1","0","","",""
"","12","EntityID","","","nvarchar","100","50","0","y","",""
"","13","VR_DivisionID","","","nvarchar","100","50","0","y","",""
"","14","VR_DepartmentID","","","nvarchar","100","50","0","y","",""
"","15","VR_Sub_DepartmentID","","","nvarchar","100","50","0","y","",""
"","16","VR_BranchID","","","nvarchar","100","50","0","y","",""
"","17","VR_DeptCode","","","nvarchar","100","50","0","y","",""
"","18","DivisionID","","","nvarchar","100","50","0","y","",""
"","19","DepartmentID","","","nvarchar","100","50","0","y","",""
"","20","Sub_DepartmentID","","","nvarchar","100","50","0","y","",""
"","21","Work_Phone","","","nvarchar","1000","500","0","y","",""
"","22","Mobile_Phone","","","nvarchar","1000","500","0","y","",""
"","23","Email","","","nvarchar","1000","500","0","y","",""
"","24","City","","","nvarchar","100","50","0","y","",""
"","25","Operator","","","nvarchar","100","50","0","y","",""
"","26","InsTime","","","datetime","8","23","3","y","",""
"","27","Birthday","","","datetime","8","23","3","y","",""
"","28","CostCenterCode","","","nvarchar","1000","500","0","y","",""
"","29","WBSCode","","","nvarchar","100","50","0","y","",""
"","30","EmployeeType","","","nvarchar","40","20","0","y","",""
"","31","InternalOrderNum","","","nvarchar","100","50","0","y","",""
"","32","HomeBase","","","nvarchar","400","200","0","y","",""
"","33","PlateNO","","","nvarchar","20","10","0","y","",""
"","34","Vehicle","","","nvarchar","100","50","0","y","",""
"","35","Driver","","","nvarchar","100","50","0","y","",""
"","36","Area","","","nvarchar","1000","500","0","y","",""
"","37","Territory","","","nvarchar","100","50","0","y","",""
"","38","Nationality","","","char","3","3","0","y","",""
"","39","Contactperson","","","char","8","8","0","y","",""
"","40","MainWA","","","char","5","5","0","y","",""
"","41","MainWC","","","char","3","3","0","y","",""
"","42","CompanyCode","","","nvarchar","100","50","0","y","",""
"","43","ODGCode","","","char","2","2","0","y","",""
"","44","pinyin","","","nvarchar","200","100","0","y","",""
"","45","IDCard","","","nvarchar","100","50","0","y","",""
"","46","positioncode","","","char","20","20","0","y","",""
"","47","orgcode5","","","char","20","20","0","y","",""
"","48","orgcode1","","","char","20","20","0","y","",""
"","49","orgcode2","","","char","20","20","0","y","",""
"","50","orgcode3","","","char","20","20","0","y","",""
"","51","orgcode4","","","char","20","20","0","y","",""
"","52","reportto","","","nvarchar","400","200","0","y","",""
"","53","CountryCode","","","varchar","20","20","0","y","",""
"","54","OrdNum","","","int","4","10","0","y","",""
"","55","RecordCreationTime","","","datetime","8","23","3","y","",""
"","56","LastUpdateTime","","","datetime","8","23","3","y","",""
"","57","RecordStatus","","","varchar","10","10","0","y","",""
"","58","CName","","","nvarchar","400","200","0","y","",""
"","59","LevelId","","","int","4","10","0","y","",""
"","60","Reviewer","","","nvarchar","400","200","0","y","",""
"","61","FTECostCenterCode","","","nvarchar","400","200","0","y","",""
"","62","DepartmentName","","","nvarchar","200","100","0","y","",""
"","63","DepartmentType","","","nvarchar","200","100","0","y","",""
"","64","SAPVenderCode","","","nvarchar","1000","500","0","y","",""
"","65","BAType","","","nvarchar","1000","500","0","y","",""
"","66","CompanyName","","","nvarchar","400","200","0","y","",""
"","67","FTECostCenterCode1","","","nvarchar","400","200","0","y","",""
"","68","TE_Level","","","nvarchar","100","50","0","y","",""
"","69","SignLevelAmount","","","nvarchar","100","50","0","y","",""
"","70","AmountCategory","","","nvarchar","100","50","0","y","",""
"","71","IsHasRightChange","","","int","4","10","0","y","",""
"","72","SpecialSignLevel","","","money","8","19","4","y","",""
"","73","IsCheckHCPTester","","","int","4","10","0","y","",""
"","74","Headimg","","","nvarchar","1000","500","0","y","",""
"","75","FTECostCenterCode2","","","nvarchar","100","50","0","y","",""
"","76","CreateBy","","","nvarchar","100","50","0","y","",""
"","77","CreateTime","","","datetime","8","23","3","y","",""
"","78","Opearlte","","","nvarchar","100","50","0","y","",""
"","79","OpearlteID","","","int","4","10","0","y","",""
"Takeda_VR_UserVR_Log","1","ID","√","√","int","4","10","0","","",""
"","2","UserName","","","nvarchar","100","50","0","y","",""
"","3","UserCode","","","nvarchar","100","50","0","y","",""
"","4","VRCode","","","nvarchar","100","50","0","y","",""
"","5","DivisionCode","","","nvarchar","100","50","0","y","",""
"","6","DeptCode","","","nvarchar","100","50","0","y","",""
"","7","SubDeptCode","","","nvarchar","100","50","0","y","",""
"","8","EntityCode","","","nvarchar","100","50","0","y","",""
"","9","BranchCode","","","nvarchar","100","50","0","y","",""
"","10","TitleCode","","","nvarchar","100","50","0","y","",""
"","11","CountryCode","","","nvarchar","100","50","0","y","",""
"","12","Recordstatus","","","nvarchar","100","50","0","y","",""
"","13","VR_Division","","","nvarchar","100","50","0","y","",""
"","14","CreateBy","","","nvarchar","100","50","0","y","",""
"","15","CreateTime","","","datetime","8","23","3","y","",""
"","16","Opearlte","","","nvarchar","100","50","0","y","",""
"","17","UserID","","","int","4","10","0","y","",""
"Takeda_VR_Division_Log","1","ID","√","√","int","4","10","0","","",""
"","2","EntityID","","","int","4","10","0","","",""
"","3","VR_Division","","","nvarchar","400","200","0","","",""
"","4","CountryCode","","","nvarchar","100","50","0","y","",""
"","5","Status","","","nvarchar","100","50","0","y","",""
"","6","RecordStatus","","","char","1","1","0","y","",""
"","7","Code","","","nvarchar","100","50","0","y","",""
"","8","IsGoHCPTester","","","int","4","10","0","y","",""
"","9","DepartFlag","","","int","4","10","0","y","",""
"","10","CreateBy","","","nvarchar","100","50","0","y","",""
"","11","CreateTime","","","datetime","8","23","3","y","",""
"","12","Opearlte","","","nvarchar","100","50","0","y","",""
"","13","DivisionID","","","int","4","10","0","y","",""
"RAP_TE_DD_CAccount_Log","1","ID","√","√","int","4","10","0","","",""
"","2","CostCenterCode","","","varchar","50","50","0","y","",""
"","3","AccountCode","","","nvarchar","200","100","0","","",""
"","4","OrdNum","","","int","4","10","0","y","",""
"","5","RecordCreationTime","","","datetime","8","23","3","y","",""
"","6","LastUpdateTime","","","datetime","8","23","3","y","",""
"","7","RecordStatus","","","varchar","10","10","0","y","",""
"","8","CreateBy","","","nvarchar","100","50","0","y","",""
"","9","CreateTime","","","datetime","8","23","3","y","",""
"","10","Opearlte","","","nvarchar","100","50","0","y","",""
"","11","CAccountID","","","int","4","10","0","y","",""
"Delegation","1","Id","√","√","int","4","10","0","","",""
"","2","FromWho","","","nvarchar","100","50","0","","",""
"","3","ToWho","","","nvarchar","1000","500","0","","",""
"","4","StartDate","","","datetime","8","23","3","y","",""
"","5","EndDate","","","datetime","8","23","3","y","",""
"","6","Status","","","nvarchar","100","50","0","y","",""
"","7","FromWhoDepID","","","nvarchar","400","200","0","y","",""
"","8","AutoDelAlert","","","bit","1","1","0","y","",""
"","9","ProcessName","","","nvarchar","400","200","0","y","",""
"","10","CurrentStatus","","","char","1","1","0","y","",""
"","11","ExceptList","","","nvarchar","400","200","0","y","",""
"","12","CreateDate","","","nvarchar","100","50","0","y","",""
"","13","LastUpdateTime","","","nvarchar","100","50","0","y","",""
"","14","Created_By","","","nvarchar","100","50","0","y","",""
"","15","DelegateType","","","int","4","10","0","y","",""
"DelegationLog","1","Id","√","√","int","4","10","0","","",""
"","2","FromWho","","","nvarchar","400","200","0","y","",""
"","3","ToWho","","","nvarchar","400","200","0","y","",""
"","4","StartDate","","","datetime","8","23","3","y","",""
"","5","EndDate","","","datetime","8","23","3","y","",""
"","6","Status","","","nvarchar","400","200","0","y","",""
"","7","FromWhoDepID","","","nvarchar","400","200","0","y","",""
"","8","AutoDelAlert","","","bit","1","1","0","y","",""
"","9","ProcessName","","","nvarchar","400","200","0","y","",""
"","10","CurrentStatus","","","char","1","1","0","y","",""
"","11","ExceptList","","","nvarchar","400","200","0","y","",""
"","12","CreateDate","","","nvarchar","400","200","0","y","",""
"","13","LastUpdateTime","","","nvarchar","400","200","0","y","",""
"","14","Created_By","","","nvarchar","400","200","0","y","",""
"","15","Operate","","","nvarchar","400","200","0","y","",""
"","16","Updated_By","","","nvarchar","400","200","0","y","",""
"RAP_TE_DD_SignLevel","1","ID","√","√","int","4","10","0","","",""
"","2","REID","","","int","4","10","0","","",""
"","3","ProcName","","","varchar","50","50","0","","",""
"","4","Amount","","","money","8","19","4","","",""
"","5","CountryCode","","","varchar","20","20","0","y","","VGhlIGNvZGUgb2YgY291bnRyeQ=="
"","6","LevelID","","","int","4","10","0","y","",""
"","7","OrdNum","","","int","4","10","0","y","","VGhlIG9yZGVyIG51bWJlcg=="
"","8","RecordCreationTime","","","datetime","8","23","3","y","(getdate())","VGhlIHRpbWUgb2YgY3JlYXRlZCB0aGlzIHJlY29yZA=="
"","9","LastUpdateTime","","","datetime","8","23","3","y","","TGFzdCB1cGRhdGUgdGltZQ=="
"","10","RecordStatus","","","varchar","10","10","0","y","","VGhlIHN0YXR1cyBvZiB0aGlzIHJlY29yZC4gMCAtIGRpc2FibGUgMS0gZW5hYmxlIDIgLSBkZWxldGVk"
